Sample ID,Well,ITS_per_ul,core_type,seq_id_raw,seq_id,Material
WPX2Inner,D11,1,Inner,WPX2,WPX2,Wood
None,D12,,None,,,Wood
YB15Inner,E01,19,Inner,YB15,YB15,Wood
BB1Inner,E02,181,Inner,BB1,BB1,Wood
BB16primeInner,E03,38,Inner,BB16prime,BB16',Wood
BBX1Inner,E04,8,Inner,BBX1,BBX1,Wood
PB501Inner,E05,28,Inner,PB501,PB501,Wood
AB4Inner,E06,0,Inner,AB4,AB4,Wood
WA1Inner,E07,4,Inner,WA1,WA1,Wood
WA12Inner,E08,5829431,Inner,WA12,WA12,Wood
WP101Inner,E09,4008957,Inner,WP101,WP101,Wood
WP403Inner,E10,0,Inner,WP403,WP403,Wood
WPX22Inner,E11,0,Inner,WPX22,WPX22,Wood
RO1Inner,E12,403957,Inner,RO1,RO1,Wood
None,F01,,None,,,Wood
BB10Inner,F02,16,Inner,BB10,BB10,Wood
BB3Inner,F03,10,Inner,BB3,BB3,Wood
BBX6Inner,F04,24,Inner,BBX6,BBX6,Wood
SH1Inner,F05,81,Inner,SH1,SH1,Wood
AB4slash6Inner,F06,48,Inner,AB4slash6,AB4/6,Wood
WA10Inner,F07,2,Inner,WA10,WA10,Wood
WA14Inner96c,F08,0,er96c,WA14Inn,WA14,Wood
WP102Inner,F09,17,Inner,WP102,WP102,Wood
WP5Inner,F10,1004,Inner,WP5,WP5,Wood
WPX5Inner,F11,18,Inner,WPX5,WPX5,Wood
RO10Inner,F12,3278858,Inner,RO10,RO10,Wood
YB3Inner,G01,20,Inner,YB3,YB3,Wood
BB10primeInner,G02,2,Inner,BB10prime,BB10',Wood
BB5Inner,G03,22,Inner,BB5,BB5,Wood
BBX7Inner,G04,21,Inner,BBX7,BBX7,Wood
AB1Inner,G05,33,Inner,AB1,AB1,Wood
AB5Inner,G06,23,Inner,AB5,AB5,Wood
WA101Inner,G07,4,Inner,WA101,WA101,Wood
WA14Inner97c,G08,0,er97c,WA14Inn,WA14,Wood
WP103Inner,G09,0,Inner,WP103,WP103,Wood
WP6Inner,G10,0,Inner,WP6,WP6,Wood
None,G11,,None,,,Wood
RO101Inner,G12,3137208,Inner,RO101,RO101,Wood
YB4Inner,H01,453,Inner,YB4,YB4,Wood
BB11Inner,H02,9,Inner,BB11,BB11,Wood
BB6Inner,H03,4,Inner,BB6,BB6,Wood
PB1Inner,H04,6,Inner,PB1,PB1,Wood
AB10Inner,H05,60,Inner,AB10,AB10,Wood
AB501Inner,H06,33,Inner,AB501,AB501,Wood
None,H07,,None,,,Wood
WA15Inner,H08,29,Inner,WA15,WA15,Wood
WP2Inner,H09,1,Inner,WP2,WP2,Wood
None,H10,,None,,,Wood
None,H11,,None,,,Wood
None,H12,,None,,,Wood
RO103Inner,A01,25907688,Inner,RO103,RO103,Wood
RO8Inner,A02,30428160,Inner,RO8,RO8,Wood
H2Inner,A03,Undetected,Inner,H2,H2,Wood
None,A04,,None,,,Wood
None,A05,,None,,,Wood
YB3Outer,A06,1194620,Outer,YB3,YB3,Wood
BB10primeOuter,A07,20543089,Outer,BB10prime,BB10',Wood
None,A08,,None,,,Wood
None,A09,,None,,,Wood
None,A10,,None,,,Wood
None,A11,,None,,,Wood
None,A12,,None,,,Wood
206_B01,B01,2859143,6_B01,20,,Wood
RO9Inner,B02,33303745,Inner,RO9,RO9,Wood
H3Inner,B03,38653378,Inner,H3,H3,Wood
HX4Inner,B04,37007897,Inner,HX4,HX4,Wood
None,B05,,None,,,Wood
YB4Outer,B06,Undetected,Outer,YB4,YB4,Wood
BB11Outer,B07,2861028,Outer,BB11,BB11,Wood
None,B08,,None,,,Wood
None,B09,,None,,,Wood
None,B10,,None,,,Wood
None,B11,,None,,,Wood
None,B12,,None,,,Wood
RO105Inner,C01,28524785,Inner,RO105,RO105,Wood
BO1Inner,C02,36813265,Inner,BO1,BO1,Wood
H301Inner,C03,39843303,Inner,H301,H301,Wood
HX5Inner,C04,Undetected,Inner,HX5,HX5,Wood
None,C05,,None,,,Wood
YB5Outer,C06,0,Outer,YB5,YB5,Wood
BB12Outer,C07,3212947,Outer,BB12,BB12,Wood
None,C08,,None,,,Wood
None,C09,,None,,,Wood
None,C10,,None,,,Wood
None,C11,,None,,,Wood
None,C12,,None,,,Wood
RO11Inner,D01,2849736,Inner,RO11,RO11,Wood
