Feature ID	Taxon
seq1880	Bacteria; Actinobacteriota; Acidimicrobiia; IMCC26256; none; none; none
seq1881	Bacteria; Dependentiae; Babeliae; Babeliales; Vermiphilaceae; none; none
seq1882	Bacteria; Acidobacteriota; Acidobacteriae; Bryobacterales; Bryobacteraceae; Bryobacter; none
seq1883	Bacteria; Acidobacteriota; Acidobacteriae; Subgroup 2; none; none; none
seq1884	Bacteria; Planctomycetota; Planctomycetes; Gemmatales; Gemmataceae; none; none
seq1885	Bacteria; Proteobacteria; Gammaproteobacteria; Gammaproteobacteria Incertae Sedis; Unknown Family; Acidibacter; none
seq1886	Bacteria; Acidobacteriota; Acidobacteriae; Subgroup 2; none; none; none
seq1887	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; none; none
seq1888	Bacteria; Actinobacteriota; Acidimicrobiia; none; none; none; none
seq1889	Bacteria; Acidobacteriota; Acidobacteriae; Bryobacterales; Bryobacteraceae; Bryobacter; none
seq1890	Bacteria; Chloroflexi; Ktedonobacteria; Ktedonobacterales; Ktedonobacteraceae; 1959-1; none
seq1891	Bacteria; Actinobacteriota; Actinobacteria; Micrococcales; Microbacteriaceae; none; none
seq1892	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Amb-16S-1323; none; none
seq1893	Bacteria; Actinobacteriota; Actinobacteria; Micrococcales; Microbacteriaceae; none; none
seq1894	Bacteria; Firmicutes; Bacilli; Bacillales; Planococcaceae; none; none
seq1895	Bacteria; Firmicutes; Bacilli; Bacillales; Planococcaceae; none; none
seq1896	Bacteria; Proteobacteria; Alphaproteobacteria; Alphaproteobacteria Incertae Sedis; Unknown Family; Acuticoccus; none
seq1897	Bacteria; Actinobacteriota; Thermoleophilia; Solirubrobacterales; 67-14; none; none
seq1898	Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales; Mitochondria; none; none
seq1899	Bacteria; Actinobacteriota; Thermoleophilia; Solirubrobacterales; 67-14; none; none
seq1900	Bacteria; Planctomycetota; Planctomycetes; Isosphaerales; Isosphaeraceae; Tundrisphaera; none
seq1901	Bacteria; Actinobacteriota; Acidimicrobiia; Microtrichales; Ilumatobacteraceae; none; none
seq1902	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Devosiaceae; none; none
seq1903	Bacteria; Planctomycetota; Planctomycetes; Isosphaerales; Isosphaeraceae; Tundrisphaera; none
seq1904	Bacteria; Acidobacteriota; Acidobacteriae; Acidobacteriales; Acidobacteriaceae (Subgroup 1); none; none
seq1905	Bacteria; Actinobacteriota; Actinobacteria; Micrococcales; Microbacteriaceae; none; none
seq1906	Bacteria; Actinobacteriota; Actinobacteria; Micrococcales; Micrococcaceae; none; none
seq1907	Bacteria; Bacteroidota; Bacteroidia; Cytophagales; Hymenobacteraceae; Hymenobacter; none
seq1908	Bacteria; Proteobacteria; Alphaproteobacteria; Caulobacterales; Caulobacteraceae; none; none
seq1909	Bacteria; none; none; none; none; none; none
seq1910	Bacteria; none; none; none; none; none; none
seq1911	Bacteria; Bacteroidota; Bacteroidia; Cytophagales; Microscillaceae; none; none
seq1912	Bacteria; Acidobacteriota; Acidobacteriae; Subgroup 2; none; none; none
seq1913	Bacteria; Cyanobacteria; Cyanobacteriia; Chloroplast; none; none; none
seq1914	Bacteria; Verrucomicrobiota; Verrucomicrobiae; Chthoniobacterales; Chthoniobacteraceae; Chthoniobacter; none
seq1915	Bacteria; Actinobacteriota; Actinobacteria; Kineosporiales; Kineosporiaceae; Kineosporia; none
seq1916	Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales; Mitochondria; none; none
seq1917	Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales; Mitochondria; none; none
seq1918	Bacteria; Planctomycetota; Phycisphaerae; Tepidisphaerales; WD2101 soil group; none; none
seq1919	Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales; Mitochondria; none; none
seq1920	Bacteria; Myxococcota; Polyangia; Haliangiales; Haliangiaceae; Haliangium; none
seq1921	Bacteria; Planctomycetota; Planctomycetes; Isosphaerales; Isosphaeraceae; Aquisphaera; none
seq1922	Bacteria; Verrucomicrobiota; Verrucomicrobiae; Chthoniobacterales; Xiphinematobacteraceae; Candidatus Xiphinematobacter; none
seq1923	Bacteria; Acidobacteriota; Acidobacteriae; Subgroup 2; none; none; none
seq1924	Bacteria; Acidobacteriota; Acidobacteriae; Solibacterales; Solibacteraceae; Candidatus Solibacter; none
seq1925	Bacteria; Acidobacteriota; Acidobacteriae; Solibacterales; Solibacteraceae; Candidatus Solibacter; none
seq1926	Bacteria; Actinobacteriota; Acidimicrobiia; none; none; none; none
seq1927	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; none; none
seq1928	Bacteria; Actinobacteriota; Actinobacteria; Frankiales; Acidothermaceae; Acidothermus; none
seq1929	Bacteria; Verrucomicrobiota; Verrucomicrobiae; Chthoniobacterales; Xiphinematobacteraceae; Candidatus Xiphinematobacter; none
seq1930	Bacteria; Acidobacteriota; Acidobacteriae; Bryobacterales; Bryobacteraceae; Bryobacter; none
seq1931	Bacteria; Patescibacteria; Saccharimonadia; Saccharimonadales; LWQ8; none; none
seq1932	Bacteria; Proteobacteria; Gammaproteobacteria; WD260; none; none; none
seq1933	Bacteria; Actinobacteriota; Thermoleophilia; Solirubrobacterales; 67-14; none; none
seq1934	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; none; none
seq1935	Bacteria; Proteobacteria; Gammaproteobacteria; WD260; none; none; none
seq1936	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Sphingomonas; none
seq1937	Bacteria; Cyanobacteria; Cyanobacteriia; Cyanobacteriales; Nostocaceae; Nostoc PCC-73102; none
seq1938	Bacteria; RCP2-54; none; none; none; none; none
seq1939	Bacteria; Verrucomicrobiota; Verrucomicrobiae; Chthoniobacterales; Xiphinematobacteraceae; Candidatus Xiphinematobacter; none
seq1940	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; none; none
seq1941	Bacteria; Actinobacteriota; Thermoleophilia; Solirubrobacterales; Solirubrobacteraceae; Solirubrobacter; none
seq1942	Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales; Mitochondria; none; none
seq1943	Bacteria; Armatimonadota; Chthonomonadetes; Chthonomonadales; Chthonomonadaceae; Chthonomonas; none
seq1944	Bacteria; Acidobacteriota; Vicinamibacteria; Vicinamibacterales; none; none; none
seq1945	Bacteria; Actinobacteriota; Actinobacteria; Propionibacteriales; Nocardioidaceae; Nocardioides; none
seq1946	Bacteria; Actinobacteriota; Actinobacteria; Frankiales; none; none; none
seq1947	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiales Incertae Sedis; Nordella; none
seq1948	Bacteria; Bacteroidota; Bacteroidia; Chitinophagales; Chitinophagaceae; none; none
seq1949	Bacteria; Actinobacteriota; Actinobacteria; Micromonosporales; Micromonosporaceae; Actinoplanes; none
seq1950	Bacteria; Planctomycetota; Planctomycetes; Isosphaerales; Isosphaeraceae; none; none
seq1951	Bacteria; Bacteroidota; Bacteroidia; Chitinophagales; Chitinophagaceae; Ferruginibacter; none
seq1952	Bacteria; Actinobacteriota; Actinobacteria; Frankiales; Frankiaceae; Jatrophihabitans; none
seq1953	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Beijerinckiaceae; 1174-901-12; none
seq1954	Bacteria; Proteobacteria; Alphaproteobacteria; Caulobacterales; Caulobacteraceae; none; none
seq1955	Bacteria; Actinobacteriota; Actinobacteria; Micrococcales; Microbacteriaceae; none; none
seq1956	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; none
seq1957	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Beijerinckiaceae; 1174-901-12; none
seq1958	Bacteria; Verrucomicrobiota; Verrucomicrobiae; Chthoniobacterales; Chthoniobacteraceae; LD29; none
seq1959	Bacteria; Actinobacteriota; Actinobacteria; Propionibacteriales; Propionibacteriaceae; Friedmanniella; none
seq1960	Bacteria; Acidobacteriota; Acidobacteriae; Solibacterales; Solibacteraceae; Candidatus Solibacter; none
seq1961	Bacteria; Proteobacteria; Alphaproteobacteria; Acetobacterales; Acetobacteraceae; none; none
seq1962	Bacteria; Myxococcota; Polyangia; Haliangiales; Haliangiaceae; Haliangium; none
seq1963	Bacteria; Actinobacteriota; Actinobacteria; Micrococcales; Microbacteriaceae; none; none
seq1964	Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Rhodanobacteraceae; Dokdonella; none
seq1965	Bacteria; Bacteroidota; Bacteroidia; Sphingobacteriales; Sphingobacteriaceae; Mucilaginibacter; none
seq1966	Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales; Mitochondria; none; none
seq1967	Bacteria; Acidobacteriota; Acidobacteriae; Acidobacteriales; Acidobacteriaceae (Subgroup 1); Granulicella; none
seq1968	Bacteria; Armatimonadota; Fimbriimonadia; Fimbriimonadales; Fimbriimonadaceae; none; none
seq1969	Bacteria; Proteobacteria; Alphaproteobacteria; Acetobacterales; Acetobacteraceae; Rhodovastum; none
seq1970	Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales; Mitochondria; none; none
seq1971	Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia-Caballeronia-Paraburkholderia; none
seq1972	Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales; Mitochondria; none; none
seq1973	Bacteria; Planctomycetota; Planctomycetes; Gemmatales; Gemmataceae; none; none
seq1974	Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Comamonadaceae; none; none
seq1975	Bacteria; Verrucomicrobiota; Verrucomicrobiae; none; none; none; none
seq1976	Bacteria; Acidobacteriota; Blastocatellia; Pyrinomonadales; Pyrinomonadaceae; RB41; none
seq1977	Bacteria; Proteobacteria; Alphaproteobacteria; Acetobacterales; Acetobacteraceae; none; none
seq1978	Bacteria; Chloroflexi; Ktedonobacteria; Ktedonobacterales; JG30-KF-AS9; none; none
seq1979	Bacteria; RCP2-54; none; none; none; none; none
seq1980	Bacteria; Acidobacteriota; Acidobacteriae; Solibacterales; Solibacteraceae; Candidatus Solibacter; none
seq1981	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; none; none
seq1982	Bacteria; Bacteroidota; Bacteroidia; Chitinophagales; Chitinophagaceae; none; none
seq1983	Bacteria; Chloroflexi; Dehalococcoidia; S085; none; none; none
seq1984	Bacteria; Planctomycetota; Phycisphaerae; Tepidisphaerales; WD2101 soil group; none; none
seq1985	Bacteria; Actinobacteriota; Actinobacteria; none; none; none; none
seq1986	Bacteria; Bacteroidota; Bacteroidia; Chitinophagales; Chitinophagaceae; Puia; none
seq1987	Bacteria; Myxococcota; Polyangia; Haliangiales; Haliangiaceae; Haliangium; none
seq1988	Bacteria; Bacteroidota; Bacteroidia; Chitinophagales; Chitinophagaceae; Puia; none
seq1989	Bacteria; Actinobacteriota; Actinobacteria; Micromonosporales; Micromonosporaceae; Dactylosporangium; none
seq1990	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; none
seq1991	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; none; none; none
seq1992	Bacteria; Planctomycetota; Planctomycetes; Isosphaerales; Isosphaeraceae; none; none
seq1993	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; none; none
seq1994	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Hyphomicrobiaceae; Hyphomicrobium; none
seq1995	Bacteria; Planctomycetota; Phycisphaerae; Tepidisphaerales; WD2101 soil group; none; none
seq1996	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Hyphomicrobiaceae; Hyphomicrobium; none
seq1997	Bacteria; Planctomycetota; Planctomycetes; Isosphaerales; Isosphaeraceae; none; none
seq1998	Bacteria; Planctomycetota; Planctomycetes; Gemmatales; Gemmataceae; none; none
seq1999	Bacteria; Planctomycetota; Planctomycetes; Isosphaerales; Isosphaeraceae; Tundrisphaera; none
seq2000	Bacteria; Proteobacteria; Alphaproteobacteria; Acetobacterales; Acetobacteraceae; none; none
seq2001	Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; none; none; none
seq2002	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia-Shigella; none
seq2003	Bacteria; Planctomycetota; Planctomycetes; Gemmatales; Gemmataceae; Gemmata; none
seq2004	Bacteria; Actinobacteriota; Actinobacteria; none; none; none; none
seq2005	Bacteria; Actinobacteriota; Thermoleophilia; Solirubrobacterales; 67-14; none; none
seq2006	Bacteria; Gemmatimonadota; Gemmatimonadetes; Gemmatimonadales; Gemmatimonadaceae; none; none
seq2007	Bacteria; Actinobacteriota; Thermoleophilia; Solirubrobacterales; none; none; none
seq2008	Bacteria; Verrucomicrobiota; Verrucomicrobiae; none; none; none; none
seq2009	Bacteria; Proteobacteria; Alphaproteobacteria; Acetobacterales; Acetobacteraceae; none; none
seq2010	Bacteria; Actinobacteriota; Actinobacteria; Micromonosporales; Micromonosporaceae; none; none
seq2011	Bacteria; Planctomycetota; Planctomycetes; Isosphaerales; Isosphaeraceae; none; none
seq2012	Bacteria; Planctomycetota; Planctomycetes; Isosphaerales; Isosphaeraceae; none; none
seq2013	Bacteria; Chloroflexi; Ktedonobacteria; C0119; none; none; none
seq2014	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; none; none
seq2015	Bacteria; Proteobacteria; Alphaproteobacteria; Acetobacterales; Acetobacteraceae; none; none
seq2016	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; none; none
seq2017	Bacteria; Acidobacteriota; Acidobacteriae; Acidobacteriales; Acidobacteriaceae (Subgroup 1); Bryocella; none
seq2018	Bacteria; Actinobacteriota; Actinobacteria; Micrococcales; Microbacteriaceae; Amnibacterium; none
seq2019	Bacteria; Acidobacteriota; Acidobacteriae; Acidobacteriales; Acidobacteriaceae (Subgroup 1); Bryocella; none
seq2020	Bacteria; Proteobacteria; Alphaproteobacteria; Acetobacterales; Acetobacteraceae; none; none
seq2021	Bacteria; Cyanobacteria; Cyanobacteriia; none; none; none; none
seq2022	Bacteria; Verrucomicrobiota; Verrucomicrobiae; Chthoniobacterales; Chthoniobacteraceae; LD29; none
seq2023	Bacteria; Proteobacteria; Alphaproteobacteria; Acetobacterales; Acetobacteraceae; Acidiphilium; none
seq2024	Bacteria; Actinobacteriota; Actinobacteria; Propionibacteriales; Nocardioidaceae; none; none
seq2025	Bacteria; Patescibacteria; Saccharimonadia; Saccharimonadales; none; none; none
seq2026	Bacteria; Actinobacteriota; Thermoleophilia; Solirubrobacterales; Solirubrobacteraceae; Conexibacter; none
seq2027	Bacteria; Planctomycetota; Planctomycetes; Gemmatales; Gemmataceae; none; none
seq2028	Bacteria; Proteobacteria; Alphaproteobacteria; Elsterales; URHD0088; none; none
seq2029	Bacteria; Chloroflexi; TK10; none; none; none; none
seq2030	Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales; Mitochondria; none; none
seq2031	Bacteria; Proteobacteria; Alphaproteobacteria; Acetobacterales; Acetobacteraceae; Acidiphilium; none
seq2032	Bacteria; Actinobacteriota; Actinobacteria; Kineosporiales; Kineosporiaceae; Kineosporia; none
seq2033	Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales; Mitochondria; none; none
seq2034	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; none; none
seq2035	Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Rhodanobacteraceae; Luteibacter; none
seq2036	Bacteria; Planctomycetota; Planctomycetes; Gemmatales; Gemmataceae; none; none
seq2037	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; Pseudolabrys; none
seq2038	Bacteria; Planctomycetota; Planctomycetes; Isosphaerales; Isosphaeraceae; Aquisphaera; none
seq2039	Bacteria; Verrucomicrobiota; Verrucomicrobiae; Pedosphaerales; Pedosphaeraceae; ADurb.Bin063-1; none
seq2040	Bacteria; Verrucomicrobiota; Verrucomicrobiae; Chthoniobacterales; Xiphinematobacteraceae; Candidatus Xiphinematobacter; none
seq2041	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Beijerinckiaceae; Methylocapsa; none
seq2042	Bacteria; Acidobacteriota; Blastocatellia; 11-24; none; none; none
seq2043	Bacteria; Actinobacteriota; Actinobacteria; Corynebacteriales; Nocardiaceae; Nocardia; none
seq2044	Bacteria; Patescibacteria; Berkelbacteria; none; none; none; none
seq2045	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Beijerinckiaceae; Roseiarcus; none
seq2046	Bacteria; Bacteroidota; Bacteroidia; Chitinophagales; Chitinophagaceae; Puia; none
seq2047	Bacteria; Proteobacteria; Alphaproteobacteria; Reyranellales; Reyranellaceae; Reyranella; none
seq2048	Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales; Mitochondria; none; none
seq2049	Bacteria; Acidobacteriota; Acidobacteriae; Bryobacterales; Bryobacteraceae; Bryobacter; none
seq2050	Bacteria; Proteobacteria; Gammaproteobacteria; Gammaproteobacteria Incertae Sedis; Unknown Family; Acidibacter; none
seq2051	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; none; none
seq2052	Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Rhodanobacteraceae; Rhodanobacter; none
seq2053	Bacteria; Planctomycetota; Planctomycetes; Isosphaerales; Isosphaeraceae; Aquisphaera; none
seq2054	Bacteria; Proteobacteria; Alphaproteobacteria; Elsterales; none; none; none
seq2055	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Altererythrobacter; none
seq2056	Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales; Mitochondria; none; none
seq2057	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; none; none
seq2058	Bacteria; Planctomycetota; Planctomycetes; Isosphaerales; Isosphaeraceae; Tundrisphaera; none
seq2059	Bacteria; Proteobacteria; Alphaproteobacteria; Acetobacterales; Acetobacteraceae; none; none
seq2060	Bacteria; Actinobacteriota; Thermoleophilia; Solirubrobacterales; 67-14; none; none
seq2061	Bacteria; none; none; none; none; none; none
seq2062	Bacteria; Planctomycetota; Planctomycetes; Gemmatales; Gemmataceae; Gemmata; none
seq2063	Bacteria; Chloroflexi; Chloroflexia; Thermomicrobiales; JG30-KF-CM45; none; none
seq2064	Bacteria; Actinobacteriota; Acidimicrobiia; Microtrichales; Ilumatobacteraceae; none; none
seq2065	Bacteria; Actinobacteriota; Actinobacteria; Corynebacteriales; Corynebacteriaceae; Corynebacterium; none
seq2066	Bacteria; Acidobacteriota; Blastocatellia; DS-100; none; none; none
seq2067	Bacteria; Actinobacteriota; Actinobacteria; Propionibacteriales; Nocardioidaceae; none; none
seq2068	Bacteria; Actinobacteriota; Thermoleophilia; Solirubrobacterales; 67-14; none; none
seq2069	Bacteria; Actinobacteriota; Actinobacteria; Kineosporiales; Kineosporiaceae; Kineosporia; none
seq2070	Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Comamonadaceae; none; none
seq2071	Bacteria; Proteobacteria; Alphaproteobacteria; Acetobacterales; Acetobacteraceae; none; none
seq2072	Bacteria; Proteobacteria; Gammaproteobacteria; WD260; none; none; none
seq2073	Bacteria; Actinobacteriota; Actinobacteria; Frankiales; Frankiaceae; Jatrophihabitans; none
seq2074	Bacteria; Actinobacteriota; Actinobacteria; none; none; none; none
seq2075	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Aurantimonas; none
seq2076	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Sphingoaurantiacus; none
seq2077	Bacteria; Cyanobacteria; Cyanobacteriia; Chloroplast; none; none; none
seq2078	Bacteria; Acidobacteriota; Acidobacteriae; Acidobacteriales; Acidobacteriaceae (Subgroup 1); Bryocella; none
seq2079	Bacteria; Actinobacteriota; Actinobacteria; Propionibacteriales; Propionibacteriaceae; none; none
seq2080	Bacteria; Gemmatimonadota; Gemmatimonadetes; Gemmatimonadales; Gemmatimonadaceae; none; none
seq2081	Bacteria; Verrucomicrobiota; Verrucomicrobiae; Pedosphaerales; Pedosphaeraceae; none; none
seq2082	Bacteria; Bacteroidota; Bacteroidia; Chitinophagales; Chitinophagaceae; none; none
seq2083	Bacteria; Bacteroidota; Bacteroidia; Chitinophagales; Chitinophagaceae; Puia; none
seq2084	Bacteria; Actinobacteriota; Thermoleophilia; Gaiellales; none; none; none
seq2085	Bacteria; Proteobacteria; Gammaproteobacteria; JG36-TzT-191; none; none; none
seq2086	Bacteria; Proteobacteria; Gammaproteobacteria; WD260; none; none; none
seq2087	Bacteria; Actinobacteriota; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces; none
seq2088	Bacteria; Proteobacteria; Alphaproteobacteria; Acetobacterales; Acetobacteraceae; Endobacter; none
seq2089	Bacteria; Proteobacteria; Alphaproteobacteria; Acetobacterales; Acetobacteraceae; none; none
seq2090	Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales; Mitochondria; none; none
seq2091	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; none
seq2092	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Beijerinckiaceae; Methylobacterium-Methylorubrum; none
seq2093	Bacteria; Proteobacteria; Alphaproteobacteria; Caulobacterales; Caulobacteraceae; Caulobacter; none
seq2094	Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales; Mitochondria; none; none
seq2095	Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Oxalobacteraceae; Massilia; none
seq2096	Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Comamonadaceae; none; none
seq2097	Bacteria; Bacteroidota; Bacteroidia; Sphingobacteriales; Sphingobacteriaceae; none; none
seq2098	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; none
seq2099	Bacteria; Acidobacteriota; Acidobacteriae; Acidobacteriales; Acidobacteriaceae (Subgroup 1); Occallatibacter; none
seq2100	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Devosiaceae; none; none
seq2101	Bacteria; Proteobacteria; Alphaproteobacteria; Reyranellales; Reyranellaceae; Reyranella; none
seq2102	Bacteria; Planctomycetota; Planctomycetes; Gemmatales; Gemmataceae; none; none
seq2103	Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Comamonadaceae; none; none
seq2104	Bacteria; Acidobacteriota; Acidobacteriae; Subgroup 2; none; none; none
seq2105	Bacteria; Acidobacteriota; Acidobacteriae; Solibacterales; Solibacteraceae; Candidatus Solibacter; none
seq2106	Bacteria; Acidobacteriota; Acidobacteriae; Subgroup 2; none; none; none
seq2107	Bacteria; Planctomycetota; Planctomycetes; Gemmatales; Gemmataceae; none; none
seq2108	Bacteria; Proteobacteria; Gammaproteobacteria; Gammaproteobacteria Incertae Sedis; Unknown Family; Acidibacter; none
seq2109	Bacteria; Verrucomicrobiota; Verrucomicrobiae; Methylacidiphilales; Methylacidiphilaceae; none; none
seq2110	Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Nitrosomonadaceae; mle1-7; none
seq2111	Bacteria; Proteobacteria; Alphaproteobacteria; Caulobacterales; Caulobacteraceae; none; none
seq2112	Bacteria; Acidobacteriota; Acidobacteriae; Bryobacterales; Bryobacteraceae; Bryobacter; none
seq2113	Bacteria; Verrucomicrobiota; Verrucomicrobiae; Pedosphaerales; Pedosphaeraceae; none; none
seq2114	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; none; none
seq2115	Bacteria; Proteobacteria; Gammaproteobacteria; R7C24; none; none; none
seq2116	Bacteria; Planctomycetota; Planctomycetes; Gemmatales; Gemmataceae; Gemmata; none
seq2117	Bacteria; Planctomycetota; Planctomycetes; Gemmatales; Gemmataceae; none; none
seq2118	Bacteria; Proteobacteria; Gammaproteobacteria; Gammaproteobacteria Incertae Sedis; Unknown Family; Acidibacter; none
seq2119	Bacteria; Acidobacteriota; Acidobacteriae; Acidobacteriales; Acidobacteriaceae (Subgroup 1); Edaphobacter; none
seq2120	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Sphingoaurantiacus; none
seq2121	Bacteria; Bacteroidota; Bacteroidia; Chitinophagales; Chitinophagaceae; none; none
seq2122	Bacteria; Firmicutes; Desulfitobacteriia; Desulfitobacteriales; Syntrophobotulaceae; Dehalobacter; none
seq2123	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Beijerinckiaceae; Methylobacterium-Methylorubrum; none
seq2124	Bacteria; Gemmatimonadota; Longimicrobia; Longimicrobiales; Longimicrobiaceae; YC-ZSS-LKJ147; none
seq2125	Bacteria; Actinobacteriota; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Actinomycetospora; none
seq2126	Bacteria; Actinobacteriota; Acidimicrobiia; Microtrichales; Ilumatobacteraceae; none; none
seq2127	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; none; none
seq2128	Bacteria; WPS-2; none; none; none; none; none
seq2129	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; none; none
seq2130	Bacteria; none; none; none; none; none; none
seq2131	Bacteria; Actinobacteriota; Actinobacteria; Frankiales; Acidothermaceae; Acidothermus; none
seq2132	Bacteria; Gemmatimonadota; Gemmatimonadetes; Gemmatimonadales; Gemmatimonadaceae; Gemmatimonas; none
seq2133	Bacteria; Acidobacteriota; Blastocatellia; DS-100; none; none; none
seq2134	Bacteria; Planctomycetota; Planctomycetes; Isosphaerales; Isosphaeraceae; none; none
seq2135	Bacteria; Proteobacteria; Alphaproteobacteria; Acetobacterales; Acetobacteraceae; Acidiphilium; none
seq2136	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Beijerinckiaceae; 1174-901-12; none
seq2137	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; none; none
seq2138	Bacteria; Actinobacteriota; Actinobacteria; Propionibacteriales; Nocardioidaceae; none; none
seq2139	Bacteria; Elusimicrobiota; Lineage IIa; none; none; none; none
seq2140	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Amb-16S-1323; none; none
seq2141	Bacteria; Acidobacteriota; Acidobacteriae; Subgroup 2; none; none; none
seq2142	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; none; none
seq2143	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; none; none
seq2144	Bacteria; Proteobacteria; Alphaproteobacteria; Dongiales; Dongiaceae; Dongia; none
seq2145	Bacteria; Actinobacteriota; Actinobacteria; Corynebacteriales; Mycobacteriaceae; Mycobacterium; none
seq2146	Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales; Mitochondria; none; none
seq2147	Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales; Mitochondria; none; none
seq2148	Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales; Mitochondria; none; none
